wwavenumber,intensity,intensity_baseline_corrected,intensity_smoothed,intensity_minmax,intensity_standard,intensity_vector_norm
383.28,45,7.090574716756713,13.32134766923556,0.03334020327078935,-0.19188428031230126,0.007718323137223649
386.839,55,16.904696419222645,11.058545879352911,0.028735733553048474,-0.23660903951212012,0.006407266940549476
390.396,42,3.7202298310813404,10.384568522130023,0.02736428849513346,-0.24993034548894066,0.006016767783903955
393.951,52,13.537217116927593,10.849574708328309,0.02831050787346585,-0.24073939920405946,0.0062861900747263
397.505,44,5.35570006933321,13.288104794634618,0.03327255889728961,-0.19254133280725885,0.007699062379637326
401.058,62,23.175719127148298,15.01954653762682,0.036795788863469514,-0.15831901807775844,0.008702251185868553
404.61,57,17.99731419365299,13.876106877892813,0.03446905688418192,-0.18091934642723287,0.00803974788658708
408.16,50,10.820522854555477,14.869478433553038,0.03649042228478992,-0.16128514610907016,0.008615302466520368
411.708,59,19.645380895832552,14.120909544674342,0.03496719440159843,-0.17608076959198773,0.008181585344326996
415.256,48,8.4719230214087,13.12693843966712,0.03294460900601566,-0.19572682013065704,0.007605683388459099
418.801,47,7.300181970670302,12.652167202916075,0.031978519182218966,-0.2051107747190047,0.0073306032755087736
422.346,59,19.130189635811476,14.787536932452412,0.03632368334984166,-0.16290473732628732,0.008567825964927035
425.887,58,17.96197717900816,19.421190258293418,0.04575248816904355,-0.07131959268822055,0.011252541848238581
429.429,58,17.79557384941733,22.417958308392652,0.051850471562671197,-0.012087834070356875,0.012988854476081049
432.97,74,33.63100709999826,28.185793811708226,0.06358717074271937,0.10191466280911277,0.016330709919111855
436.507,69,28.468302604152825,29.57553769829284,0.066415095693904,0.12938324664832776,0.01713592067263141
440.044,78,37.30748267218219,30.08371572530747,0.06744916343552954,0.13942749355960807,0.017430356515094544
443.581,67,26.14856676755725,31.44228192779056,0.07021364637294315,0.16627984383383146,0.018217503072217398
447.116,73,31.991570623000626,29.019550968772602,0.06528374425561717,0.11839405055202402,0.016813784703734232
450.647,59,17.83650735637827,25.449568632790175,0.05801935387357077,0.04783258951804573,0.01474535454580607
454.18,72,30.6833868863991,23.75332418937115,0.054567745249019445,0.014305956909238632,0.013762558881350641
457.708,65,23.532217348121286,21.825930237212393,0.05064578128091947,-0.023789394958923918,0.01264583633158586
461.238,53,11.383003808264291,21.993732430913788,0.050987234130622505,-0.020472748869968225,0.012743060094997831
464.764,65,23.235748980325816,19.562095221503153,0.04603920910018276,-0.06853457608721214,0.011334181488963741
468.291,63,21.090454439503212,18.053164077418316,0.042968755563262476,-0.09835892144969367,0.010459914226293037
471.815,61,18.947119437418934,14.252485774290825,0.035234932728283694,-0.17348013739683532,0.008257819962818552
475.339,56,13.805741116650012,13.17637451320509,0.03304520416401286,-0.1947497056106597,0.007634326405642923
478.859,47,4.666314725061554,13.834150063003937,0.0343836809204221,-0.1817486318074577,0.008015438314976026
482.379,52,9.528834129944585,10.675690315452186,0.027956678640624653,-0.24417626125479816,0.0061854423151105585
485.899,53,10.393292731958631,9.479543106109258,0.025522694529420024,-0.267818365545414,0.005492400521545027
489.416,58,15.259682978879852,9.67926685834263,0.025929103068242962,-0.2638707830549542,0.005608119478529836
492.931,58,15.12799627915512,10.51261485354788,0.027624843996776362,-0.2473994824833122,0.006090957196789068
496.447,43,-0.0017774847369764757,10.105451296107518,0.026796325883177458,-0.25544715689424957,0.005855048639782944
